pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
15.15,-31.7,90.0,top,BT1,,,BAT_BLP2016SM-G,BLP2016SM-GTR,smt
52.35,-17.09,0.0,top,J1,,,AMPHENOL_F32R-1A7H1-11020,AMPHENOL F32R-1A7H1-11020,smt
9.2,-122.7,0.0,top,SW1,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
58.4,-112.7,0.0,top,SW10,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
9.2,-102.7,0.0,top,SW11,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
21.5,-102.7,0.0,top,SW12,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
33.8,-102.7,0.0,top,SW13,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
46.1,-102.7,0.0,top,SW14,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
58.4,-102.7,0.0,top,SW15,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
9.2,-92.7,0.0,top,SW16,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
21.5,-92.7,0.0,top,SW17,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
33.8,-92.7,0.0,top,SW18,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
46.1,-92.7,0.0,top,SW19,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
21.5,-122.7,0.0,top,SW2,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
58.4,-92.7,0.0,top,SW20,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
8.3,-82.7,0.0,top,SW21,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
18.5,-82.7,0.0,top,SW22,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
28.7,-82.7,0.0,top,SW23,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
38.9,-82.7,0.0,top,SW24,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
49.1,-82.7,0.0,top,SW25,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
59.3,-82.7,0.0,top,SW26,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
8.3,-73.5,0.0,top,SW27,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
18.5,-73.5,0.0,top,SW28,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
28.7,-73.5,0.0,top,SW29,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
33.8,-122.7,0.0,top,SW3,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
38.9,-73.5,0.0,top,SW30,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
49.1,-73.5,0.0,top,SW31,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
59.3,-73.5,0.0,top,SW32,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
8.3,-64.3,0.0,top,SW33,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
18.5,-64.3,0.0,top,SW34,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
28.7,-64.3,0.0,top,SW35,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
38.9,-64.3,0.0,top,SW36,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
49.1,-64.3,0.0,top,SW37,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
59.3,-64.3,0.0,top,SW38,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
8.3,-55.1,0.0,top,SW39,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
46.1,-122.7,0.0,top,SW4,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
18.5,-55.1,0.0,top,SW40,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
28.7,-55.1,0.0,top,SW41,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
38.9,-55.1,0.0,top,SW42,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
49.1,-55.1,0.0,top,SW43,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
59.3,-55.1,0.0,top,SW44,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
58.4,-122.7,0.0,top,SW5,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
9.2,-112.7,0.0,top,SW6,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
21.5,-112.7,0.0,top,SW7,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
33.8,-112.7,0.0,top,SW8,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
46.1,-112.7,0.0,top,SW9,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
