pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
55.0,-70.8,90.0,top,BT1,,,BAT_BC-2013,BK-5067,smt
80.9,-70.3,0.0,top,C1,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100 nF,smt
87.7,-65.6,90.0,top,C10,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100 nF,smt
74.4,-73.0,180.0,top,C11,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47 pF,smt
70.6,-67.9,90.0,top,C12,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100 nF,smt
88.5,-62.0,0.0,top,C13,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100 nF,smt
92.4,-64.0,-90.0,top,C14,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10 uF,smt
75.0,-53.5,0.0,top,C15,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100 nF,smt
92.75,-78.0875,90.0,top,C16,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10 uF,smt
70.2,-63.8,90.0,top,C17,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2.2 uF,smt
88.5,-57.3,180.0,top,C18,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2.2 uF,smt
73.9,-79.7,-90.0,top,C19,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1 uF,smt
89.0,-73.6,0.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100 uF,smt
78.9375,-79.7,0.0,top,C20,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1 uF,smt
71.3,-79.3,90.0,top,C21,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,560 pF,smt
94.2647,-93.5375,0.0,top,C22,,,Supercap_4x10,0.3F,smt
58.7206,-88.9776,180.0,top,C23,,,Supercap_4x10,0.3F,smt
105.9,-85.1,0.0,top,C24,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2 uF,smt
94.75,-81.65,-90.0,top,C25,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2 uF,smt
74.2,-70.0,0.0,top,C3,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100 nF,smt
97.95,-76.9875,90.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100 uF,smt
102.8,-61.9,0.0,top,C5,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100 nF,smt
83.5,-50.8,0.0,top,C6,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100 nF,smt
89.0,-76.8,0.0,top,C7,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10 uF,smt
83.5,-53.5,180.0,top,C8,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100 nF,smt
83.2,-73.0,0.0,top,C9,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47 pF,smt
70.0,-53.7,180.0,top,D1,,,D_SOD-323_HandSoldering,NSR0340HT1G,smt
105.7,-55.3,0.0,top,D2,,,D_SOD-323_HandSoldering,NSR0340HT1G,smt
70.0,-51.2,0.0,top,D3,,,D_SOD-323_HandSoldering,NSR0340HT1G,smt
52.6,-47.5,180.0,top,J2,,,HARWIN_M20-8890545R,HARWIN M20,smt
99.8,-46.6625,180.0,top,J3,,,GCT_USB4110GFA,USB4110GFA,smt
76.5,-84.2,0.0,top,J4,,,AMPHENOL_F3311A7H121010E200,F3311A7H121010E200,smt
87.1,-43.9,180.0,top,JP1,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,Bootloader,smt
85.5,-79.9,-90.0,top,L1,,,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1 uH,smt
88.7,-59.8,180.0,top,L2,,,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,2.2 uH,smt
74.9,-76.1,0.0,top,L3,,,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7 uH,smt
81.675,-76.5,180.0,top,L4,,,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7 uH,smt
101.45,-77.9875,180.0,top,L5,,,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,15 uH,smt
87.9,-50.8,180.0,top,R1,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10k,smt
77.5,-92.5,0.0,top,R10,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1M,smt
79.3,-90.2,180.0,top,R11,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1M,smt
82.7,-92.5,0.0,top,R12,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1M,smt
84.6,-90.2,180.0,top,R13,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1M,smt
87.9875,-92.5,0.0,top,R14,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1M,smt
101.8,-58.3875,-90.0,top,R15,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10k,smt
70.1,-56.3,0.0,top,R16,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0,smt
